     0	    0.000000
     1	    0.000000
     2	    0.000000
     3	    0.000000
     4	    0.000000
     5	    0.000000
     6	    0.000000
     7	    0.000120
     8	    0.000360
     9	    0.000840
    10	    0.001920
    11	    0.005760
    12	    0.006960
    13	    0.015001
    14	    0.024361
    15	    0.035641
    16	    0.048962
    17	    0.061082
    18	    0.073563
    19	    0.081483
    20	    0.090004
    21	    0.090724
    22	    0.087604
    23	    0.083883
    24	    0.074163
    25	    0.059162
    26	    0.045962
    27	    0.035401
    28	    0.026041
    29	    0.017761
    30	    0.012601
    31	    0.008040
    32	    0.005880
    33	    0.003120
    34	    0.001200
    35	    0.000600
    36	    0.000840
    37	    0.000360
    38	    0.000480
    39	    0.000000
    40	    0.000120
