     0	    0.000000
     1	    0.000000
     2	    0.000000
     3	    0.000000
     4	    0.000000
     5	    0.000000
     6	    0.000000
     7	    0.000000
     8	    0.000000
     9	    0.000000
    10	    0.000000
    11	    0.000000
    12	    0.000000
    13	    0.000006
    14	    0.000010
    15	    0.000114
    16	    0.000282
    17	    0.000774
    18	    0.001572
    19	    0.002942
    20	    0.004872
    21	    0.007908
    22	    0.012336
    23	    0.017846
    24	    0.024738
    25	    0.034178
    26	    0.043100
    27	    0.052176
    28	    0.060982
    29	    0.067484
    30	    0.073312
    31	    0.077340
    32	    0.077408
    33	    0.075952
    34	    0.070114
    35	    0.062176
    36	    0.053756
    37	    0.044768
    38	    0.036266
    39	    0.028084
    40	    0.021402
    41	    0.015784
    42	    0.011174
    43	    0.007710
    44	    0.005102
    45	    0.003134
    46	    0.002160
    47	    0.001256
    48	    0.000706
    49	    0.000418
    50	    0.000658
